Mês,Up,Django Unchained,Ratatouille,The Prestige,Eternal Sunshine of the Spotless Mind,Spider-Man: No Way Home,Toy Story 3,Inception,The Dark Knight Rises,The Hunt,Avengers: Endgame,Whiplash,Logan,Mad Max: Fury Road,Oppenheimer,Dune: Part Two,Batman Begins,Shutter Island,The Dark Knight,A Separation,Prisoners,V for Vendetta,The Wolf of Wall Street,The Grand Budapest Hotel,Downfall,No Country for Old Men,Green Book,Spider-Man: Into the Spider-Verse,The Departed,3 Idiots,Pan's Labyrinth,Coco,Gone Girl,Inside Out,Spider-Man: Across the Spider-Verse,The Kashmir Files,Top Gun: Maverick,There Will Be Blood,The Lives of Others,Howl's Moving Castle,Your Name.,1917,Joker,Parasite
2008-06,3,<1,18,11,11,<1,1,1,<1,2,<1,4,<1,1,0,0,4,<1,15,1,2,5,<1,0,5,16,1,<1,7,<1,10,2,<1,1,0,0,<1,13,14,9,<1,<1,1,<1
2008-07,4,<1,18,14,13,<1,1,<1,2,2,<1,4,<1,1,0,0,16,<1,100,0,3,5,<1,0,5,15,1,<1,7,<1,12,2,<1,1,0,0,1,13,13,12,<1,<1,4,<1
2008-08,4,<1,15,14,11,<1,1,<1,2,4,<1,4,<1,1,0,0,9,<1,52,0,3,5,<1,0,5,14,1,<1,7,<1,11,2,<1,1,0,0,1,12,11,10,<1,<1,4,<1
2008-09,4,<1,12,10,12,<1,1,<1,1,4,<1,4,<1,1,0,0,4,<1,22,1,3,7,<1,0,5,14,1,<1,6,<1,12,2,<1,1,0,0,<1,10,14,9,<1,1,2,<1
2008-10,5,<1,11,10,11,<1,1,<1,1,3,<1,4,<1,1,0,0,3,<1,14,1,3,7,<1,0,6,11,1,<1,7,<1,11,2,<1,1,0,0,1,8,16,13,<1,1,2,<1
2008-11,8,<1,13,10,13,<1,1,<1,1,4,<1,4,<1,1,0,0,2,<1,14,1,3,7,<1,0,7,9,1,<1,8,<1,11,2,<1,1,0,0,<1,7,13,9,1,1,2,<1
2008-12,6,<1,15,12,14,<1,1,<1,2,3,<1,4,<1,1,0,0,4,<1,23,1,3,6,<1,0,8,10,1,<1,7,1,11,3,<1,1,0,0,<1,8,12,12,1,1,2,<1
2009-01,8,<1,12,13,13,<1,1,<1,1,3,<1,5,<1,1,0,0,3,1,12,1,3,5,<1,0,8,10,1,<1,7,1,9,3,<1,1,0,0,<1,8,13,12,1,1,2,<1
2009-02,8,<1,11,12,14,<1,1,<1,1,5,<1,4,<1,1,0,0,2,<1,9,1,3,5,<1,0,7,9,1,<1,6,1,9,4,<1,1,0,0,<1,9,12,9,1,1,2,<1
2009-03,11,<1,10,13,11,<1,1,1,1,6,<1,6,<1,1,0,0,2,1,6,1,2,5,<1,0,7,7,1,<1,7,1,9,11,<1,1,0,0,<1,7,11,9,1,1,1,<1
2009-04,12,<1,9,12,12,<1,2,1,1,3,<1,4,<1,1,0,0,2,1,4,1,3,4,<1,0,6,7,1,<1,8,1,8,5,<1,1,0,0,<1,4,10,10,1,1,1,<1
2009-05,54,<1,10,13,11,<1,3,1,1,3,<1,5,1,1,0,0,2,1,4,1,3,5,<1,0,7,7,1,<1,5,1,9,3,<1,1,0,0,<1,5,10,10,1,1,1,<1
2009-06,100,<1,11,10,11,<1,6,1,1,3,<1,7,<1,1,0,0,2,4,5,1,5,4,<1,0,6,6,1,<1,5,1,8,3,<1,1,0,0,<1,4,9,11,1,1,1,<1
2009-07,47,<1,10,14,11,<1,3,1,1,3,<1,6,<1,1,0,0,2,3,4,1,3,5,<1,0,7,6,1,<1,7,1,8,4,<1,1,0,0,<1,5,10,10,1,1,1,<1
2009-08,51,<1,12,11,12,<1,3,2,1,3,<1,5,<1,1,0,0,2,4,4,1,3,5,<1,0,7,6,1,<1,5,1,10,5,<1,1,0,0,<1,5,9,12,1,1,1,<1
2009-09,44,<1,10,9,10,<1,5,1,1,3,<1,5,<1,1,0,0,2,3,4,1,3,5,<1,0,11,6,1,<1,4,1,7,3,<1,1,0,0,<1,4,9,9,1,1,1,<1
2009-10,57,<1,10,9,11,<1,11,1,1,3,<1,4,<1,1,0,0,2,5,4,1,3,6,<1,0,7,5,1,<1,5,3,9,3,<1,1,0,0,<1,4,11,8,1,1,1,<1
2009-11,54,<1,11,12,14,<1,4,1,1,3,<1,4,<1,2,0,0,2,3,3,1,3,8,<1,0,8,5,1,<1,7,10,9,3,<1,1,0,0,<1,4,24,8,1,1,1,<1
2009-12,46,<1,14,12,12,<1,4,2,1,2,<1,7,<1,1,0,0,2,4,4,1,3,6,<1,0,8,6,1,<1,7,59,9,3,<1,1,0,0,<1,5,15,10,1,1,1,<1
2010-01,33,<1,12,13,15,<1,6,2,1,3,<1,5,<1,1,0,0,2,10,4,1,3,5,<1,0,10,7,2,<1,8,100,10,3,<1,1,0,0,<1,5,12,9,1,1,1,<1
2010-02,28,<1,12,11,13,<1,10,1,1,4,<1,4,<1,1,0,0,2,90,3,1,3,8,<1,0,9,5,1,<1,6,41,8,3,<1,1,0,0,<1,4,10,8,1,1,1,<1
2010-03,27,<1,11,11,11,<1,9,1,1,3,<1,5,<1,1,0,0,2,100,3,1,2,5,<1,0,8,6,2,<1,7,25,12,3,<1,1,0,0,<1,4,13,7,1,1,1,<1
2010-04,20,<1,10,11,11,<1,10,2,1,2,<1,5,<1,1,0,0,2,44,3,2,2,5,<1,0,13,4,1,<1,7,20,8,3,<1,1,0,0,<1,3,9,15,1,1,1,<1
2010-05,17,<1,11,10,14,<1,16,5,2,3,<1,7,<1,1,0,0,2,27,3,2,3,5,<1,0,8,5,1,<1,5,18,8,3,<1,1,0,0,<1,3,9,9,<1,1,1,<1
2010-06,15,<1,10,10,12,<1,100,7,1,3,<1,4,<1,1,0,0,2,35,3,2,2,4,<1,0,9,4,2,<1,4,16,9,3,<1,1,0,0,<1,5,8,9,1,1,1,<1
2010-07,15,<1,12,15,13,<1,94,100,2,3,<1,4,<1,1,0,0,2,36,4,2,2,5,<1,0,8,6,2,<1,7,16,6,3,<1,1,0,0,1,3,8,17,1,<1,1,<1
2010-08,14,<1,10,15,15,<1,54,82,2,4,<1,4,<1,1,0,0,2,32,3,2,2,5,<1,0,6,6,2,<1,8,15,7,3,<1,1,0,0,<1,5,8,9,1,<1,1,<1
2010-09,12,<1,10,14,11,<1,28,47,1,4,<1,4,<1,2,0,0,2,19,3,2,2,6,<1,0,6,4,1,<1,7,12,7,3,<1,1,0,0,<1,3,8,8,1,<1,1,<1
2010-10,13,<1,11,12,11,<1,26,34,3,4,<1,4,<1,1,0,0,2,15,3,2,3,7,<1,0,6,5,1,<1,5,11,9,3,<1,1,0,0,1,3,10,8,1,1,1,<1
2010-11,12,<1,12,11,14,<1,33,32,3,3,<1,4,<1,1,0,0,2,12,3,1,3,10,<1,0,7,4,1,<1,7,9,9,3,<1,1,0,0,1,3,12,8,1,1,1,<1
2010-12,13,<1,11,13,14,<1,26,37,3,3,<1,4,<1,1,0,0,2,13,3,1,2,9,<1,0,6,5,1,<1,6,10,10,3,<1,1,0,0,1,4,11,9,1,1,1,1
2011-01,12,<1,11,16,16,<1,20,26,5,4,<1,4,<1,1,0,0,2,19,4,2,2,8,<1,0,8,6,2,<1,7,9,8,3,<1,1,0,0,1,4,12,10,1,1,1,1
2011-02,10,<1,10,16,14,<1,16,18,4,3,<1,4,<1,1,0,0,2,12,3,19,2,7,<1,0,7,8,1,<1,5,8,8,3,<1,1,0,0,1,4,11,10,1,1,1,1
2011-03,13,<1,9,10,13,<1,13,14,3,3,<1,4,<1,1,0,0,2,13,3,19,2,8,<1,0,7,7,1,<1,6,6,7,3,<1,1,0,<1,<1,3,9,9,1,<1,1,1
2011-04,11,<1,10,12,12,<1,12,10,3,2,<1,4,<1,1,0,0,2,10,3,36,2,7,<1,0,7,5,1,<1,5,7,7,3,<1,1,0,0,1,3,9,9,1,1,1,1
2011-05,10,1,8,10,12,<1,10,9,5,3,<1,4,<1,1,0,0,2,9,3,15,2,7,<1,0,8,4,2,<1,5,7,7,3,<1,1,0,0,<1,3,10,8,<1,<1,1,1
2011-06,12,1,10,11,13,<1,9,10,5,2,<1,4,1,1,0,0,2,9,3,27,2,9,<1,0,6,4,2,<1,7,8,7,4,<1,1,0,0,<1,3,8,9,<1,<1,1,1
2011-07,12,1,11,13,14,<1,10,9,17,3,<1,4,<1,1,0,0,3,8,4,35,2,8,<1,0,6,4,1,<1,6,9,8,4,<1,1,0,0,<1,3,8,12,<1,<1,1,1
2011-08,11,1,11,12,14,<1,8,9,9,3,<1,4,<1,1,0,0,3,9,4,26,3,11,<1,0,6,5,1,<1,5,9,9,4,<1,1,0,0,<1,3,10,10,<1,<1,1,1
2011-09,12,1,9,11,13,<1,7,7,6,3,<1,4,<1,1,0,0,2,7,3,33,2,9,<1,0,6,6,1,<1,6,10,8,4,<1,1,0,0,<1,3,8,9,<1,<1,1,<1
2011-10,11,1,9,10,13,<1,7,7,6,4,<1,5,<1,1,0,0,3,7,3,37,2,12,<1,0,6,4,1,<1,6,9,9,3,<1,1,0,0,1,3,9,11,<1,<1,2,1
2011-11,12,1,12,11,13,<1,7,7,6,3,<1,4,<1,1,0,0,3,7,4,26,2,16,<1,0,7,7,1,<1,6,10,9,3,<1,1,0,0,<1,4,8,10,<1,<1,1,1
2011-12,15,1,12,16,13,<1,8,7,19,4,<1,4,<1,1,0,0,3,7,5,33,3,10,<1,0,7,4,1,<1,5,13,8,3,<1,1,0,0,1,3,9,10,<1,<1,1,1
2012-01,18,1,12,17,15,<1,7,8,8,5,<1,4,<1,1,0,0,3,8,4,99,2,14,<1,0,7,4,1,<1,6,14,7,3,<1,1,0,0,1,4,10,11,<1,<1,1,<1
2012-02,14,1,9,12,15,<1,6,6,6,4,<1,6,<1,1,0,0,2,6,3,100,2,13,<1,0,6,6,1,<1,7,11,7,4,<1,1,0,0,<1,4,9,12,<1,<1,1,<1
2012-03,12,1,10,10,12,<1,5,5,6,4,<1,4,<1,1,0,0,2,6,3,65,2,9,<1,0,6,4,1,<1,5,10,7,3,<1,1,0,0,1,3,8,9,<1,<1,1,<1
2012-04,14,2,11,9,11,<1,5,5,7,4,1,4,<1,1,0,0,3,6,3,32,2,8,<1,0,6,3,1,<1,5,9,8,4,<1,1,0,0,1,3,8,9,<1,<1,1,<1
2012-05,13,2,9,12,11,<1,4,5,13,10,2,5,<1,1,0,0,3,5,4,20,2,7,<1,0,5,4,1,<1,6,9,7,3,<1,1,0,0,1,3,7,10,<1,<1,1,<1
2012-06,12,6,10,12,12,<1,5,6,16,11,1,4,<1,1,0,0,4,6,5,16,2,8,<1,0,6,4,1,<1,5,11,7,4,<1,1,0,0,1,3,7,10,<1,<1,1,<1
2012-07,12,3,11,19,13,<1,7,8,100,14,1,4,<1,1,0,0,25,6,29,18,2,8,<1,1,5,3,1,<1,6,10,6,4,1,1,0,0,1,3,7,12,<1,<1,3,<1
2012-08,13,2,12,18,12,<1,6,7,43,11,1,4,<1,1,0,0,14,6,16,16,2,7,<1,1,5,3,2,<1,6,10,7,4,1,1,0,0,1,3,6,11,<1,<1,4,<1
2012-09,13,2,11,16,13,<1,5,6,21,8,1,3,<1,1,0,0,6,5,8,15,2,8,<1,1,6,4,1,<1,6,9,7,3,1,1,0,0,<1,4,7,10,<1,<1,4,<1
2012-10,13,3,9,11,12,<1,4,6,15,9,<1,4,<1,1,0,0,4,6,5,12,2,9,<1,1,5,4,1,<1,6,7,7,3,1,1,0,0,1,3,8,9,<1,<1,2,<1
2012-11,13,4,10,12,12,<1,5,5,18,24,<1,4,<1,1,0,0,4,6,7,11,2,14,<1,1,6,6,1,<1,6,8,7,4,1,1,0,0,<1,3,8,9,<1,<1,2,<1
2012-12,16,31,11,14,13,<1,6,6,23,25,<1,4,<1,2,0,0,7,6,9,11,3,11,<1,1,6,6,1,<1,5,9,7,5,1,1,0,0,<1,3,8,10,<1,<1,2,<1
2013-01,17,100,9,16,14,<1,6,5,11,28,<1,4,<1,2,0,0,5,6,6,12,3,9,<1,1,6,5,1,<1,6,9,7,4,1,1,0,0,<1,4,9,33,<1,<1,1,<1
2013-02,14,64,10,12,15,<1,5,5,7,24,<1,3,<1,1,0,0,4,9,4,10,3,9,<1,1,5,5,1,<1,7,8,8,3,1,<1,0,0,1,6,8,11,<1,<1,1,<1
2013-03,14,36,12,11,13,<1,5,5,5,36,<1,4,<1,1,0,0,3,7,4,10,3,9,<1,1,6,4,1,<1,7,8,7,3,1,<1,0,0,<1,4,7,11,<1,<1,1,<1
2013-04,15,31,10,11,12,<1,5,5,4,35,<1,4,<1,1,0,0,3,5,3,8,3,8,<1,1,4,4,1,<1,5,6,7,3,1,1,0,0,<1,3,7,10,<1,<1,1,<1
2013-05,14,23,10,11,11,<1,4,5,4,25,<1,4,<1,1,0,0,3,6,4,9,3,9,<1,1,6,4,1,<1,5,7,7,3,1,<1,0,0,<1,2,8,11,<1,<1,1,<1
2013-06,15,17,11,14,12,<1,5,5,6,21,<1,4,<1,2,0,0,4,6,5,9,4,15,4,1,6,3,1,<1,6,8,7,3,1,1,0,0,<1,3,7,11,<1,<1,1,<1
2013-07,15,14,13,16,14,<1,5,5,5,21,<1,3,1,2,0,0,4,5,4,8,4,10,2,1,5,4,1,<1,7,8,8,3,1,<1,0,0,<1,2,7,15,<1,<1,1,<1
2013-08,13,11,13,17,13,<1,5,5,5,19,<1,3,1,1,0,0,4,5,5,7,7,8,2,1,5,5,1,<1,7,9,7,3,1,1,0,0,<1,3,6,12,<1,<1,1,<1
2013-09,12,9,11,13,12,<1,4,4,4,17,<1,3,<1,1,0,0,3,5,4,7,62,7,2,1,5,4,1,<1,7,7,6,3,1,1,0,0,<1,4,8,14,<1,<1,1,<1
2013-10,13,8,10,13,11,<1,4,5,3,17,<1,3,<1,1,0,0,3,4,4,8,100,9,2,12,5,4,1,<1,5,7,9,2,1,1,0,0,1,3,7,10,<1,<1,2,<1
2013-11,14,8,13,13,12,<1,4,5,3,15,<1,3,<1,1,0,0,3,5,4,8,78,11,4,5,5,7,1,<1,6,7,7,3,1,1,0,0,<1,3,8,11,<1,<1,1,<1
2013-12,17,9,17,21,13,<1,5,5,3,21,<1,3,<1,1,0,0,3,5,4,8,85,8,26,5,5,5,1,<1,6,8,7,3,1,1,0,0,<1,3,7,12,<1,<1,1,<1
2014-01,16,10,15,17,13,<1,4,6,3,25,<1,4,<1,1,0,0,4,7,4,8,66,7,100,7,5,5,1,<1,9,8,7,3,2,1,0,0,<1,3,9,14,<1,<1,1,<1
2014-02,16,8,13,14,12,<1,4,6,3,18,<1,3,<1,1,0,0,3,6,3,9,53,7,65,23,5,5,1,<1,7,7,8,3,1,1,0,0,<1,4,7,13,<1,<1,1,<1
2014-03,14,7,13,12,12,<1,4,5,3,21,<1,3,<1,1,0,0,3,6,4,8,34,7,51,100,5,5,1,<1,8,7,7,3,1,1,0,0,<1,3,7,12,<1,<1,1,<1
2014-04,14,7,14,13,11,<1,4,4,3,14,<1,3,<1,1,0,0,3,5,3,7,26,6,32,87,6,4,1,<1,6,7,7,3,4,1,0,0,1,3,7,12,<1,<1,1,<1
2014-05,13,6,14,13,10,<1,4,5,3,14,<1,3,1,1,0,0,3,5,4,10,26,8,23,57,6,4,1,<1,5,7,7,3,2,1,0,0,<1,3,6,13,<1,<1,1,<1
